"Score","Hero","Class","Type","Set","Name","Quality","Current Level","Max Level","Tower Health","Tower Damage","Tower Range","Tower Rate","Hero Health","Hero Damage","Hero Casting","Generic Resist","Poison Resist","Fire Resist","Lightning Resist"
"398","Lenny","Summoner","Helmet","Pristine","Unnamed Equipment","Ultimate","301","301","485","-56","127","244","0","208","281","9","17","15","15"
"393","Athene","Guardian","Helmet","Leather","Unnamed Equipment","Transcendent","1","198","226","107","29","217","0","16","0","13","-5","5","14"
"383","Gwyndalen","Countess","Weapon","Unknown","Unnamed Equipment","Supreme","1","271","-121","310","396","0","241","0","172","0","0","0","0"
"340","tboost","Monk","Gloves","Plate","Unnamed Equipment","Transcendent","252","253","111","232","-86","10","181","0","302","30","30","29","29"
"332","Zendigas","Summoner","Pet","Unknown","Unnamed Equipment","Godly","10","10","400","400","-127","-80","-145","-154","0","0","0","0","0"
"320","Marcus","Hermit","Equipment","Unknown","Unnamed Equipment","Ultimate","1","281","516","239","-84","-134","0","-175","-85","0","0","0","0"
"298","Rufio","Ranger","Helmet","Plate","Unnamed Equipment","Mythical","1","116","84","113","122","62","0","124","80","17","-11","11","16"
"282","Rosie","Adept","Accessory","Unknown","Unnamed Equipment","Mythical","1","239","271","-99","295","293","-93","0","-267","0","0","0","0"
"266","dps jester","Jester","Weapon","Unknown","Unnamed Equipment","Transcendent","188","188","48","258","0","114","216","112","-104","0","0","0","0"
"256","tboost","Monk","Helmet","Unknown","Unnamed Equipment","Supreme","211","239","207","-54","0","275","282","159","296","0","0","0","0"
"251","Rufio","Ranger","Boots","Pristine","Unnamed Equipment","Mythical","1","41","87","75","94","85","0","87","68","14","9","13","-15"
"229","Rosie","Adept","Accessory","Unknown","Unnamed Equipment","Supreme","1","121","-107","122","97","114","0","78","0","0","0","0","0"
"224","tboost","Monk","Helmet","Plate","Unnamed Equipment","Transcendent","116","117","57","99","137","0","86","295","0","24","26","26","27"
"198","dps jester","Jester","Chest","Plate","Unnamed Equipment","Transcendent","295","295","70","0","-100","273","416","420","119","30","31","31","30"
"184","Rufio","Ranger","Gloves","Plate","Unnamed Equipment","Mythical","1","112","80","24","112","83","0","103","0","17","14","7","10"
"181","tboost","Monk","Weapon","Unknown","Madness Boulder Thrower","Ultimate","358","359","409","0","303","-95","411","382","269","0","0","0","0"
"166","guardian summoner","Summoner","Equipment","Unknown","Unnamed Equipment","Transcendent","1","120","-283","145","201","0","122","-74","-176","0","0","0","0"
"144","Jobe","Summoner","Pet","Unknown","Unnamed Equipment","Godly","1","55","0","400","-323","-102","380","0","-160","0","0","0","0"
"123","tboost","Monk","Accessory","Unknown","Unnamed Equipment","Supreme","242","243","0","71","-66","76","127","0","182","0","0","0","0"
"117","Jobe","Summoner","Pet","Unknown","Unnamed Equipment","Godly","1","246","-100","0","0","317","-130","364","-147","0","0","0","0"
"89","tboost","Monk","Accessory","Unknown","Unnamed Equipment","Supreme","215","224","110","0","179","-75","0","290","121","0","0","0","0"
"69","Rosie","Adept","Helmet","Unknown","Unnamed Equipment","Mythical","1","29","8","29","12","31","25","15","0","0","0","0","0"
"63","dps jester","Jester","Accessory","Unknown","Unnamed Equipment","Godly","1","124","-83","105","48","-78","0","86","0","0","0","0","0"
"44","Valoria","Initiate","Accessory","Unknown","Unnamed Equipment","Godly","1","25","-29","21","30","17","31","-19","21","0","0","0","0"
"42","Valoria","Initiate","Helmet","Unknown","Unnamed Equipment","Mythical","1","32","32","-4","36","14","9","31","36","0","0","0","0"
"39","guardian summoner","Summoner","Pet","Unknown","Unnamed Equipment","Godly","64","175","400","-156","400","-141","0","-138","0","0","0","0","0"
"37","dps jester","Jester","Accessory","Unknown","Unnamed Equipment","Mythical","1","30","44","0","-18","39","13","12","43","0","0","0","0"
"36","ProtoGirl","Series EV","Accessory","Unknown","Unnamed Equipment","Godly","1","7","12","28","-15","11","-27","2","9","0","0","0","0"
"34","Lenny","Summoner","Helmet","Unknown","Unnamed Equipment","Godly","1","13","0","29","-26","12","-29","23","19","0","0","0","0"
"34","Marcus","Hermit","Accessory","Unknown","Unnamed Equipment","Godly","1","17","29","17","0","9","0","16","-1","1","2","0","-2"
"32","Lenny","Summoner","Accessory","Unknown","Unnamed Equipment","Godly","1","27","15","16","12","0","6","22","23","0","0","0","0"
"25","Lenny","Summoner","Accessory","Unknown","Unnamed Equipment","Godly","1","13","34","-17","21","32","0","6","13","0","0","0","0"
"10","Lauma","Warden","Accessory","Unknown","Unnamed Equipment","Unknown","1","28","4","4","5","2","4","0","2","0","0","0","0"
"9","Gwyndalen","Countess","Accessory","Unknown","Unnamed Equipment","Epic","1","26","-3","0","10","6","-10","6","7","0","0","0","0"
"8","Rufio","Ranger","Weapon","Unknown","Unnamed Equipment","Godly","1","24","12","0","7","2","13","10","14","0","0","0","0"
"7","Gwyndalen","Countess","Accessory","Unknown","Unnamed Equipment","Godly","1","14","0","26","0","-41","49","-3","38","0","0","0","0"
"7","Lauma","Warden","Accessory","Unknown","Unnamed Equipment","Unknown","1","18","7","1","5","2","0","1","0","0","0","0","0"
"7","Rufio","Ranger","Accessory","Unknown","Unnamed Equipment","Unknown","1","8","0","4","0","3","0","1","2","0","0","0","0"
"6","Rufio","Ranger","Accessory","Unknown","Unnamed Equipment","Amazing","1","20","5","2","-2","3","0","12","7","0","0","0","0"
"3","Rufio","Ranger","Accessory","Unknown","Unnamed Equipment","Unknown","1","20","5","-4","0","7","-3","0","6","0","0","0","0"
"1","Marcus","Hermit","Accessory","Unknown","Unnamed Equipment","Godly","1","15","21","0","0","-14","27","33","29","0","0","0","0"
"0","Marcus","Hermit","Accessory","Unknown","Unnamed Equipment","Unknown","1","29","4","1","0","-3","2","-7","0","0","0","0","0"
"-8","Gwyndalen","Countess","Accessory","Unknown","Unnamed Equipment","Worn","1","25","-1","-4","1","-6","0","11","1","0","0","0","0"
"-40","Valoria","Initiate","Accessory","Unknown","Unnamed Equipment","Supreme","21","224","188","-185","182","0","175","0","143","0","0","0","0"
"-150","Zendigas","Summoner","Pet","Unknown","Unnamed Equipment","Godly","6","7","255","-142","0","-163","374","0","-131","0","0","0","0"
"-229","guardian summoner","Summoner","Pet","Unknown","Unnamed Equipment","Godly","120","209","-170","-110","-107","-128","400","-166","0","0","0","0","0"
"-362","dps jester","Jester","Helmet","Unknown","Unnamed Equipment","Supreme/Trans?","1","212","0","-100","-270","-104","0","298","-71","0","0","0","0"
